neighbourhood_group,price_count,price_mean,price_median,price_std,price_min,price_max,minimum_nights_mean,minimum_nights_median,number_of_reviews_mean,number_of_reviews_median,reviews_per_month_mean,reviews_per_month_median,availability_365_mean,availability_365_median,calculated_host_listings_count_mean,calculated_host_listings_count_median,active_days_mean,active_days_median,market_share_percent
Bronx,1091,87.5,65.0,106.71,0,2500,4.56,2.0,26.0,9.0,1.48,0.87,165.76,148.0,2.23,1.0,199.24,217.0,2.2
Brooklyn,20104,124.38,90.0,186.87,0,10000,6.06,3.0,24.2,6.0,1.05,0.38,100.23,28.0,2.28,1.0,264.77,337.0,41.1
Manhattan,21661,196.88,150.0,291.38,0,10000,8.58,3.0,20.99,4.0,0.98,0.28,111.98,36.0,12.79,1.0,253.02,329.0,44.3
Queens,5666,99.52,75.0,167.1,10,10000,5.18,2.0,27.7,7.0,1.57,0.76,144.45,98.0,4.06,1.0,220.55,267.0,11.6
Staten Island,373,114.81,75.0,277.62,13,5000,4.83,2.0,30.94,12.0,1.58,1.0,199.68,219.0,2.32,1.0,165.32,146.0,0.8
